type,number,name,title,bidder,date,committee_mem1,committee_mem2,committee_mem3
EOI 1213,EOI,1213,Carol Bove,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Carol Endean Little,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Casey M Kaplan Inc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Celeste Boursier-Mougenot,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Charles Ray,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Choi Jeong Hwa,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Christian de Vietri,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Claire Healy and Sean Cordeiro,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Clark Beaumont,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Col Henry,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Cole Arts Inc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Conrad Shawcross,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Courtney Monk Studios Pty Ltd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Craig Walsh,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Crystal Energy OY,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,D & J Projects,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Dale Frank,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Damien Butler,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Dane Mitchell,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Daniel Boyd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Daniel Templeman,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Darren Almond,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,David Hahlbrock,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,David Harber Ltd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,David Zwirner Gallery,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Del Kathryn Barton,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Delvoye Art N.V.,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Destiny Deacon,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Diana Ramaekers Light&Space,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Didier Faustino,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Diego Bonetto,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Dominic Peters,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Donna Marcus,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Doung Jahangeer,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Drome Pty Ltd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,East West Fine Art Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Ecology,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Eleanor Avery,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Eli Keszler,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Elmgreen & Dragset,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Fine Art Works Ltd,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Fiona Connor,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Fiona Hall,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Flavio Favelli,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Foxy Production Inc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Francesca Oldfield,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Franz Ackermann Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,FriendsWithYou,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gabriel Lester/Polylester,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gail Hastings,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Galerie Lelong,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gary Deirmendjian,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gary Hill,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gemma Smith,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gillie and Marc,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Giorgio Bevignani,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Glen Clarke,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Glue Society,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Gora Art & Landscape AB,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
